"","miRNA","Estimate","Std. Error","t/z value","P value","variable","FDR","model","Presence","Exponentiated_Estimate"
"206","MIR_454_3P",1.22536053819459,0.453139228153774,2.70415903559504,0.00687496116664575,"BMD",0.131212612315675,"linear",">10%",1.22536053819459
"281","RNU44_A1",1.42604296020423,0.530700900803434,2.68709353619964,0.00723931654155448,"BMD",0.131212612315675,"linear",">10%",1.42604296020423
"125","MIR_22_3P",0.917571270263599,0.348016245172622,2.63657597307984,0.00840571352319298,"BMD",0.143391583630939,"linear",">10%",0.917571270263599
"188","MIR_374A_5P",0.988458179489887,0.381130830188111,2.59348785560597,0.00953121534076975,"BMD",0.153558469379068,"linear",">10%",0.988458179489887
"232","MIR_576_3P",0.672355997907917,0.263140271994044,2.55512389955702,0.0106487772584276,"BMD",0.160805391605656,"linear",">10%",0.672355997907917
"201","MIR_425_3P",0.759327656104782,0.298841508438842,2.54090424075134,0.0110900270072866,"BMD",0.160805391605656,"linear",">10%",0.759327656104782
"42","MIR_1285_3P",0.631215201237352,0.250340358039681,2.52142805171389,0.0117246116299353,"BMD",0.161911303461012,"linear",">10%",0.631215201237352
"87","MIR_182_5P",1.00220557962504,0.40196898699179,2.49324105107021,0.0126971777780557,"BMD",0.166264426923714,"linear",">10%",1.00220557962504
"60","MIR_140_3P",0.815322897945241,0.332202726644688,2.45429321480941,0.0141527569841838,"BMD",0.166264426923714,"linear",">10%",0.815322897945241
"220","MIR_502_3P",0.59454499352427,0.245979264315552,2.41705330397917,0.0156867000374748,"BMD",0.166264426923714,"linear",">10%",0.59454499352427
"34","MIR_1271_5P_B1",0.607360917448425,0.251438432915014,2.41554527049455,0.0157517668860915,"BMD",0.166264426923714,"linear",">10%",0.607360917448425
"25","MIR_1254",0.44887331736196,0.186216929824825,2.41048608085321,0.0159711545587611,"BMD",0.166264426923714,"linear",">10%",0.44887331736196
"246","MIR_629_3P",0.680776995250579,0.283695930520145,2.39967134531116,0.0164508588977521,"BMD",0.166264426923714,"linear",">10%",0.680776995250579
"117","MIR_20B_3P",0.533676549869475,0.223334074265558,2.38958856423718,0.0169196824409243,"BMD",0.166264426923714,"linear",">10%",0.533676549869475
"175","MIR_33A_3P",0.957623054946722,0.403533739779502,2.37309290536644,0.0179176911712654,"BMD",0.166264426923714,"linear",">10%",0.957623054946722
"90","MIR_184",0.94875761315796,0.402811778510906,2.35533731576886,0.0185485780155004,"BMD",0.166264426923714,"linear",">10%",0.94875761315796
"289","U6_SNRNA_A1",0.943808102450196,0.401146704349021,2.35277541163352,0.0186769650173101,"BMD",0.166264426923714,"linear",">10%",0.943808102450196
"68","MIR_146B_5P",0.69199157892643,0.295242243964901,2.34380950921338,0.0191302519515277,"BMD",0.166264426923714,"linear",">10%",0.69199157892643
"119","MIR_210",0.825812742861329,0.352894370330078,2.34011311115252,0.0193217763351537,"BMD",0.166264426923714,"linear",">10%",0.825812742861329
"9","LET_7G_5P",0.721677542155484,0.312137919294588,2.31204700725381,0.0208190331993367,"BMD",0.166264426923714,"linear",">10%",0.721677542155484
"138","MIR_26A_5P",0.899021957319627,0.389246340062258,2.30964781114148,0.0209526610054867,"BMD",0.166264426923714,"linear",">10%",0.899021957319627
"257","MIR_7_1_3P",0.912897919511007,0.396440918374532,2.30273384305038,0.0213396276047474,"BMD",0.166264426923714,"linear",">10%",0.912897919511007
"218","MIR_500A_5P",0.572313634077017,0.249115287567025,2.2973846353088,0.0216430346947979,"BMD",0.166264426923714,"linear",">10%",0.572313634077017
"118","MIR_20B_5P",0.726110743372895,0.317604722764784,2.28620889844465,0.0222876114895579,"BMD",0.166264426923714,"linear",">10%",0.726110743372895
"151","MIR_29C_3P",0.911208516955454,0.398781610456479,2.28498128565259,0.0223596987931892,"BMD",0.166264426923714,"linear",">10%",0.911208516955454
"89","MIR_183_5P",-1.16396125758362,0.511424297677284,-2.27592091902934,0.0230615159014439,"BMD",0.167195990285468,"linear",">10%",-1.16396125758362
"147","MIR_296_5P",0.715537592092964,0.316107620541844,2.26358855527258,0.0236485135867111,"BMD",0.167269974149908,"linear",">10%",0.715537592092964
"178","MIR_342_3P",0.587073700635458,0.261389402236036,2.24597361489556,0.0247527160433203,"BMD",0.168931636929317,"linear",">10%",0.587073700635458
"66","MIR_146A_5P",0.915683897261357,0.408533008319501,2.24139513482159,0.025048484096416,"BMD",0.168931636929317,"linear",">10%",0.915683897261357
"106","MIR_197_3P",0.576254427858826,0.25883161804336,2.22636798477337,0.0260375842958653,"BMD",0.170445408764437,"linear",">10%",0.576254427858826
"26","MIR_1255B_5P",0.506013233379958,0.22791277435049,2.22020566781307,0.0264551610290398,"BMD",0.170445408764437,"linear",">10%",0.506013233379958
"62","MIR_142_3P",0.765619057557224,0.346164163614063,2.21172246590727,0.0270361682867728,"BMD",0.170445408764437,"linear",">10%",0.765619057557224
"290","U6_SNRNA_B",0.687508170819355,0.313379363326104,2.19385272700274,0.0282977313562699,"BMD",0.174603023262091,"linear",">10%",0.687508170819355
"245","MIR_628_3P",0.449802332980844,0.206060785330127,2.18286236393898,0.0290976075559437,"BMD",0.175798045650493,"linear",">10%",0.449802332980844
