"","miRNA","Estimate","Std. Error","t value","Pr(>|t|)","variable","FDR"
"31","MIR_1260A",0.00167890876584484,0.000799455258593426,2.10006594840434,0.035778753959137,"MIR_1260A",0.0428046148851061
"32","MIR_127_3P",-3.41889940870634e-06,0.000811380951800756,-0.00421367965456736,0.996638170121648,"MIR_127_3P",0.996638170121648
"33","MIR_1270",7.39644479924966e-05,0.00107698846969245,0.068677102934647,0.945249890445198,"MIR_1270",0.951814125795511
"34","MIR_1271_5P_B1",0.00215942057416807,0.000893968165509046,2.41554527049455,0.0157517668860915,"MIR_1271_5P_B1",0.0192743139112513
"35","MIR_1271_5P_B2",0.00109635372057555,0.000921534765293848,1.1897041347387,0.23422601367892,"MIR_1271_5P_B2",0.259257801400332
"36","MIR_1274A",0.0012631880424115,0.00118839455501285,1.0629365786667,0.287972630442585,"MIR_1274A",0.316157750215448
"37","MIR_1274B",0.00342141321796798,0.001960714892562,1.74498252190931,0.0811877644890841,"MIR_1274B",0.0948608046004609
"38","MIR_1275",0.00040776433318941,0.000696041073011156,0.585833723037885,0.558017272142321,"MIR_1275",0.586747675566617
"39","MIR_1276",-0.000716362179265497,0.00106419177034515,-0.673151399238092,0.501234904009411,"MIR_1276",0.529344945967696
"40","MIR_128",0.000559280637534335,0.00167204297593426,0.334489391471433,0.738056381157006,"MIR_128",0.760612475250646
"41","MIR_1282",0.00281721184795605,0.00345633266033723,0.815087008344034,0.41535364759695,"MIR_1282",0.445753962701643
"42","MIR_1285_3P",0.00239106002389901,0.000948295955648522,2.52142805171389,0.0117246116299355,"MIR_1285_3P",0.0143951624584305
"43","MIR_129_1_3P",0.00141317033966892,0.00140695165695001,1.0044199690076,0.315263362551441,"MIR_129_1_3P",0.343966798871023
"44","MIR_1291_B1",-0.000173484479280382,0.000854271855106645,-0.203078771989655,0.839082830301131,"MIR_1291_B1",0.854403162876854
"45","MIR_1291_B2",-4.31970944099863e-06,0.000863164571517814,-0.00500450271424223,0.996007227626466,"MIR_1291_B2",0.996638170121648
"46","MIR_1296",-0.00109808797866417,0.00134806298132512,-0.814567267164898,0.415390483057832,"MIR_1296",0.445753962701643
"47","MIR_1303",0.000811369922199351,0.00134096469180319,0.605064344467044,0.545177386473426,"MIR_1303",0.573792927905889
"48","MIR_1304_5P",-0.000235678633620337,0.000731716616904403,-0.322090038924356,0.747441632477771,"MIR_1304_5P",0.769737476628386
"49","MIR_130A_3P",0.000433312300988695,0.000545887466251497,0.793775874658134,0.427368396527927,"MIR_130A_3P",0.456994229325586
"50","MIR_130B_3P",0.000682325989662596,0.000700163324063176,0.974524037767265,0.32985187261401,"MIR_130B_3P",0.358534644145663
"51","MIR_130B_5P",0.00141469868689961,0.00107143366938793,1.32037915861631,0.18677583450284,"MIR_130B_5P",0.209454725467222
"52","MIR_132_3P",0.00213808455021816,0.000688947036398961,3.103409169729,0.00192519544848393,"MIR_132_3P",0.00239616600884266
"53","MIR_133A",0.000600500606820014,0.000627402793891357,0.957121346392982,0.338557210533674,"MIR_133A",0.367446074306757
"54","MIR_134",-0.000618420375281172,0.00102237427519444,-0.60488647874435,0.545301141140907,"MIR_134",0.573792927905889
"55","MIR_135A_5P",8.00118602787602e-05,0.00202542726214265,0.0395036947385204,0.968494963359407,"MIR_135A_5P",0.971174064226238
"56","MIR_136_3P",-0.000619629183331329,0.000776779718454217,-0.797689703542189,0.425463053075557,"MIR_136_3P",0.455292566021813
"57","MIR_138_5P",0.00129757648231591,0.00105367331642013,1.23147892434483,0.218223546141504,"MIR_138_5P",0.242656550540783
"58","MIR_139_3P",0.000160771877889404,0.000518253634517896,0.310218524639892,0.75641843771904,"MIR_139_3P",0.777877116803268
"59","MIR_139_5P",0.000739122263100328,0.000783553013986684,0.94329579480488,0.345579089786793,"MIR_139_5P",0.374506487437107
"60","MIR_140_3P",0.00159428153816799,0.000649588862711254,2.45429321480941,0.0141527569841839,"MIR_140_3P",0.0173469971488307
"61","MIR_140_5P",0.00194369302305834,0.00111979159924411,1.73576317626457,0.0827452229206613,"MIR_140_5P",0.0966027159701763
"62","MIR_142_3P",0.00142556545855656,0.000644549883871519,2.21172246590728,0.0270361682867726,"MIR_142_3P",0.0325061724840964
"63","MIR_142_5P",0.00285226375891232,0.0010106037705621,2.82233635178887,0.00479295292100717,"MIR_142_5P",0.00593491181508147
"64","MIR_144_5P",0.000693435536766582,0.000516199476197677,1.34334800545406,0.179228435960497,"MIR_144_5P",0.201614609885742
"65","MIR_145_5P",0.000837232892190339,0.000584119756842955,1.43332404422581,0.15183342257968,"MIR_145_5P",0.173080552468974
"66","MIR_146A_5P",0.00120369007435353,0.000537027164757072,2.24139513482159,0.0250484840964162,"MIR_146A_5P",0.0301914396839596
"67","MIR_146B_3P",0.000894191550166309,0.000998459528124678,0.895571152338837,0.370531884835551,"MIR_146B_3P",0.400351142333494
"68","MIR_146B_5P",0.0017233494787087,0.000735277108457115,2.34380950921338,0.0191302519515278,"MIR_146B_5P",0.0232708601759356
"69","MIR_148A_3P",-0.00077850413481459,0.00111234104569025,-0.69987899649203,0.484106561848284,"MIR_148A_3P",0.512749828108117
"70","MIR_148B_3P",-0.00185804624447579,0.00129234366264963,-1.43773386149186,0.150696592874316,"MIR_148B_3P",0.171919795175262
"71","MIR_148B_5P",0.000509882666759414,0.000587356894750817,0.86809684421212,0.385388341557496,"MIR_148B_5P",0.416093146134303
"72","MIR_150_5P",0.00207362481462487,0.00141125512630763,1.46934794139614,0.14180642498538,"MIR_150_5P",0.162416521507742
"73","MIR_151A_3P",0.00111916609648323,0.000896628721524491,1.24819344910162,0.212025306584869,"MIR_151A_3P",0.236126493508495
"74","MIR_151A_5P",0.000902848704691295,0.00109808282534711,0.822204558573167,0.411008743981072,"MIR_151A_5P",0.442108812145812
"75","MIR_152",0.000949897057914163,0.000788780009542222,1.20426106952869,0.228553391108373,"MIR_152",0.253172205582232
"76","MIR_154_5P",-0.000130462564407384,0.0020124126295615,-0.0648289334358886,0.94832067910734,"MIR_154_5P",0.953581820184218
"77","MIR_155_5P",0.00091811997539092,0.000743983670048439,1.23405931118239,0.217271003661419,"MIR_155_5P",0.241782774604034
"78","MIR_15A_3P",0.00229447046154704,0.00146373007965547,1.56755025631987,0.117124592089527,"MIR_15A_3P",0.134893295099137
"79","MIR_15B_3P",0.000881118619620674,0.000648519458257755,1.35866180790904,0.174323600416353,"MIR_15B_3P",0.196554603890911
"80","MIR_15B_5P",0.00205882868824492,0.000721685597614401,2.85280556387792,0.00435360658286852,"MIR_15B_5P",0.00540011081707387
"81","MIR_16_1_3P",0.000869534872534101,0.000881694431612605,0.986208873910812,0.324094352982263,"MIR_16_1_3P",0.352805414282493
"82","MIR_16_5P",0.0013686886775286,0.000480821806440485,2.84656115674324,0.00443917787593568,"MIR_16_5P",0.00550154523086046
"83","MIR_17_3P",0.00045121931103891,0.00236992103103808,0.19039423893431,0.849028174428052,"MIR_17_3P",0.863923405558368
"84","MIR_17_5P",0.00129021541346881,0.000599992176734197,2.15038706086394,0.0315777952828671,"MIR_17_5P",0.0378724591895429
"85","MIR_181A_2_3P",0.0020211055195518,0.00119870034972801,1.68608069565542,0.0918497037855107,"MIR_181A_2_3P",0.106973550593567
"86","MIR_181A_5P",0.000811057846617273,0.000780684537119519,1.03890599602475,0.298906884419441,"MIR_181A_5P",0.327847944332972
"87","MIR_182_5P",0.00150102760808524,0.000602038702772413,2.49324105107022,0.0126971777780557,"MIR_182_5P",0.015576064110136
"88","MIR_183_3P",0.00133650959639605,0.000741156829218498,1.80327502049102,0.0714116754534096,"MIR_183_3P",0.0836404922515702
"89","MIR_183_5P",-0.00442722965464467,0.00194524757764116,-2.27592091902934,0.0230615159014439,"MIR_183_5P",0.0278659983809114
"90","MIR_184",0.00129749886786347,0.000550876029168638,2.35533731576886,0.0185485780155004,"MIR_184",0.022601208506282
"91","MIR_185_5P",0.000983533751292413,0.000607868634329824,1.61800378526976,0.105730223372694,"MIR_185_5P",0.122255840422972
"92","MIR_186_5P_A1",0.00161280243733778,0.000549278769354847,2.93621841461685,0.00333922812984268,"MIR_186_5P_A1",0.00415255642218858
"93","MIR_186_5P_A2",0.00167707636764301,0.00057723315837045,2.90537080783346,0.00368593170288472,"MIR_186_5P_A2",0.00457585699416339
"94","MIR_18A_3P",0.00344583152937727,0.00117383078553465,2.93554366765716,0.00334644393754329,"MIR_18A_3P",0.00415796376130057
"95","MIR_18A_5P_A1",0.00113103974049758,0.00066886940354218,1.69097245965781,0.0909118695653103,"MIR_18A_5P_A1",0.105966407451527
"96","MIR_18A_5P_A2",0.000913602454301346,0.000688689354598875,1.32658135079418,0.184715479872899,"MIR_18A_5P_A2",0.207304524625157
"97","MIR_190A",0.00120823384664396,0.00122353948533201,0.987490686756304,0.323557267607933,"MIR_190A",0.352485377935014
"98","MIR_191_3P",0.0020167796173927,0.00110754531475516,1.82094546428428,0.0686986289170119,"MIR_191_3P",0.0807236725524046
"99","MIR_191_5P",0.00202431555808647,0.00158793786118692,1.27480779164329,0.202441585576365,"MIR_191_5P",0.226322512787764
"100","MIR_192_3P",0.000682587373858756,0.000991821646365791,0.688215846427507,0.491358963936891,"MIR_192_3P",0.519672135454771
"101","MIR_192_5P",0.0016951569779397,0.000544476676871829,3.11336931396005,0.0018608695361509,"MIR_192_5P",0.00231809349434605
"102","MIR_193A_5P",0.00139801303578708,0.000994745327664361,1.40539794147069,0.159972505611926,"MIR_193A_5P",0.181644583506103
"103","MIR_193B_3P",0.00105512846365078,0.000680637559013028,1.55020605266155,0.121162108453568,"MIR_193B_3P",0.139186544226599
"104","MIR_195_5P",0.00201364086142618,0.00188699264896184,1.06711643128765,0.286410655780665,"MIR_195_5P",0.314856293314605
"105","MIR_196B_5P",0.00181400150103694,0.00110388017350999,1.64329566248933,0.100408451339453,"MIR_196B_5P",0.116287743164702
"106","MIR_197_3P",0.00185982443135379,0.000835362547464546,2.22636798477337,0.0260375842958651,"MIR_197_3P",0.0313575558380436
"107","MIR_199A_3P",0.000275002820219591,0.000931201663814421,0.295320370340744,0.767788786661696,"MIR_199A_3P",0.788451657690835
"108","MIR_199A_5P",-0.002533078097377,0.00183743250684129,-1.3785965405236,0.168284980361255,"MIR_199A_5P",0.190189572504926
"109","MIR_19A_3P",0.00260345260304502,0.000686478203015511,3.79247671901127,0.000151194819590665,"MIR_19A_3P",0.000189156590514637
"110","MIR_19B_1_5P",0.00204355586167803,0.00124295642482024,1.64410901369577,0.100249403679185,"MIR_19B_1_5P",0.116196351186906
"111","MIR_19B_3P",0.00209226583576234,0.000749636769104713,2.79103950338659,0.00527560317718377,"MIR_19B_3P",0.0065269834530004
"112","MIR_200C_3P",0.00169569402759179,0.000930134679261371,1.82306290196421,0.0683755132079939,"MIR_200C_3P",0.0804091598958566
"113","MIR_204_5P",0.00103773662653036,0.0027855331429779,0.372545065258478,0.709634877372224,"MIR_204_5P",0.733930507981259
"114","MIR_206",0.000333692876203455,0.000777118917592987,0.429397443105644,0.667654107203022,"MIR_206",0.693480268942967
"115","MIR_20A_3P",0.000241608281535234,0.000886563306976385,0.272522311304803,0.785237406513776,"MIR_20A_3P",0.804660239890442
"116","MIR_20A_5P",0.000671070022600894,0.000631548964188419,1.06257797994058,0.28803061243766,"MIR_20A_5P",0.316157750215448
"117","MIR_20B_3P",0.00304077755329351,0.00127251092460103,2.38958856423718,0.0169196824409243,"MIR_20B_3P",0.0206511275583672
"118","MIR_20B_5P",0.00157400542116713,0.000688478389808539,2.28620889844466,0.0222876114895578,"MIR_20B_5P",0.0269758235891977
"119","MIR_210",0.00148532542271795,0.000634723772812168,2.34011311115252,0.0193217763351538,"MIR_210",0.023484137205342
"120","MIR_212_3P",0.000565116635533948,0.000730504706079094,0.773597528983969,0.439217376450745,"MIR_212_3P",0.46828323224528
"121","MIR_213",-0.00116046465727927,0.00216632928213503,-0.535682486891177,0.592285129715819,"MIR_213",0.620529940814984
"122","MIR_216B",0.0054382365397421,0.00346304477248632,1.57036275792579,0.116810004117054,"MIR_216B",0.134637922074506
"123","MIR_218_5P",0.000805207842444496,0.000595882189562795,1.35128697676849,0.176671180274241,"MIR_218_5P",0.199046784302757
"124","MIR_219_1_3P",0.000250377551665368,0.00341796415666609,0.0732534164166275,0.941613997995025,"MIR_219_1_3P",0.948811881231958
"125","MIR_22_3P",0.0018090023295054,0.000686118036413818,2.63657597307985,0.00840571352319291,"MIR_22_3P",0.0103553819954373
"126","MIR_22_5P",0.00127278706802464,0.00124792314738096,1.01992424028344,0.307820074562981,"MIR_22_5P",0.337114129997222
