"","miRNA","Estimate","Std. Error","t/z value","P value","variable","FDR","model","Presence","Exponentiated_Estimate"
"53","MIR_576_3P",0.672355997907917,0.263140271994044,2.55512389955702,0.0106487772584276,"BMD",0.160805391605656,"linear","90%",0.672355997907917
"46","MIR_425_3P",0.759327656104782,0.298841508438842,2.54090424075134,0.0110900270072866,"BMD",0.160805391605656,"linear","90%",0.759327656104782
"11","MIR_1285_3P",0.631215201237352,0.250340358039681,2.52142805171389,0.0117246116299353,"BMD",0.161911303461012,"linear","90%",0.631215201237352
"21","MIR_182_5P",1.00220557962504,0.40196898699179,2.49324105107021,0.0126971777780557,"BMD",0.166264426923714,"linear","90%",1.00220557962504
"13","MIR_140_3P",0.815322897945241,0.332202726644688,2.45429321480941,0.0141527569841838,"BMD",0.166264426923714,"linear","90%",0.815322897945241
"50","MIR_502_3P",0.59454499352427,0.245979264315552,2.41705330397917,0.0156867000374748,"BMD",0.166264426923714,"linear","90%",0.59454499352427
"10","MIR_1271_5P_B1",0.607360917448425,0.251438432915014,2.41554527049455,0.0157517668860915,"BMD",0.166264426923714,"linear","90%",0.607360917448425
"6","MIR_1254",0.44887331736196,0.186216929824825,2.41048608085321,0.0159711545587611,"BMD",0.166264426923714,"linear","90%",0.44887331736196
"58","MIR_629_3P",0.680776995250579,0.283695930520145,2.39967134531116,0.0164508588977521,"BMD",0.166264426923714,"linear","90%",0.680776995250579
"31","MIR_20B_3P",0.533676549869475,0.223334074265558,2.38958856423718,0.0169196824409243,"BMD",0.166264426923714,"linear","90%",0.533676549869475
"41","MIR_33A_3P",0.957623054946722,0.403533739779502,2.37309290536644,0.0179176911712654,"BMD",0.166264426923714,"linear","90%",0.957623054946722
"23","MIR_184",0.94875761315796,0.402811778510906,2.35533731576886,0.0185485780155004,"BMD",0.166264426923714,"linear","90%",0.94875761315796
"63","U6_SNRNA_A1",0.943808102450196,0.401146704349021,2.35277541163352,0.0186769650173101,"BMD",0.166264426923714,"linear","90%",0.943808102450196
"17","MIR_146B_5P",0.69199157892643,0.295242243964901,2.34380950921338,0.0191302519515277,"BMD",0.166264426923714,"linear","90%",0.69199157892643
"33","MIR_210",0.825812742861329,0.352894370330078,2.34011311115252,0.0193217763351537,"BMD",0.166264426923714,"linear","90%",0.825812742861329
"2","LET_7G_5P",0.721677542155484,0.312137919294588,2.31204700725381,0.0208190331993367,"BMD",0.166264426923714,"linear","90%",0.721677542155484
"36","MIR_26A_5P",0.899021957319627,0.389246340062258,2.30964781114148,0.0209526610054867,"BMD",0.166264426923714,"linear","90%",0.899021957319627
"59","MIR_7_1_3P",0.912897919511007,0.396440918374532,2.30273384305038,0.0213396276047474,"BMD",0.166264426923714,"linear","90%",0.912897919511007
"49","MIR_500A_5P",0.572313634077017,0.249115287567025,2.2973846353088,0.0216430346947979,"BMD",0.166264426923714,"linear","90%",0.572313634077017
"32","MIR_20B_5P",0.726110743372895,0.317604722764784,2.28620889844465,0.0222876114895579,"BMD",0.166264426923714,"linear","90%",0.726110743372895
"38","MIR_29C_3P",0.911208516955454,0.398781610456479,2.28498128565259,0.0223596987931892,"BMD",0.166264426923714,"linear","90%",0.911208516955454
"22","MIR_183_5P",-1.16396125758362,0.511424297677284,-2.27592091902934,0.0230615159014439,"BMD",0.167195990285468,"linear","90%",-1.16396125758362
"37","MIR_296_5P",0.715537592092964,0.316107620541844,2.26358855527258,0.0236485135867111,"BMD",0.167269974149908,"linear","90%",0.715537592092964
"42","MIR_342_3P",0.587073700635458,0.261389402236036,2.24597361489556,0.0247527160433203,"BMD",0.168931636929317,"linear","90%",0.587073700635458
"16","MIR_146A_5P",0.915683897261357,0.408533008319501,2.24139513482159,0.025048484096416,"BMD",0.168931636929317,"linear","90%",0.915683897261357
"28","MIR_197_3P",0.576254427858826,0.25883161804336,2.22636798477337,0.0260375842958653,"BMD",0.170445408764437,"linear","90%",0.576254427858826
"7","MIR_1255B_5P",0.506013233379958,0.22791277435049,2.22020566781307,0.0264551610290398,"BMD",0.170445408764437,"linear","90%",0.506013233379958
"14","MIR_142_3P",0.765619057557224,0.346164163614063,2.21172246590727,0.0270361682867728,"BMD",0.170445408764437,"linear","90%",0.765619057557224
"64","U6_SNRNA_B",0.687508170819355,0.313379363326104,2.19385272700274,0.0282977313562699,"BMD",0.174603023262091,"linear","90%",0.687508170819355
"57","MIR_628_3P",0.449802332980844,0.206060785330127,2.18286236393898,0.0290976075559437,"BMD",0.175798045650493,"linear","90%",0.449802332980844
"20","MIR_17_5P",0.79669361898449,0.370488473207428,2.15038706086394,0.0315777952828671,"BMD",0.186888992490438,"linear","90%",0.79669361898449
"4","MIR_106A_5P",0.771325113115762,0.365697193804781,2.10919068065782,0.034982906629083,"BMD",0.198609856948933,"linear","90%",0.771325113115762
"40","MIR_339_3P",0.554741589377647,0.263979860692488,2.1014542091295,0.0356559064636523,"BMD",0.198609856948933,"linear","90%",0.554741589377647
"9","MIR_1260A",0.58512610349332,0.278622727985236,2.10006594840434,0.0357787539591367,"BMD",0.198609856948933,"linear","90%",0.58512610349332
"1","LET_7E_5P",0.744771077616925,0.359795141550049,2.06998647732803,0.0385112902310187,"BMD",0.198609856948933,"linear","90%",0.744771077616925
"5","MIR_106B_3P",0.789115371452471,0.382909856869865,2.06083849056061,0.039377013703168,"BMD",0.198609856948933,"linear","90%",0.789115371452471
"3","MIR_103A_3P",0.69109754605683,0.335671333248974,2.05885185180299,0.039566967528808,"BMD",0.198609856948933,"linear","90%",0.69109754605683
"39","MIR_29C_5P",0.480574531844597,0.23377385631312,2.05572402074298,0.0398679905026608,"BMD",0.198609856948933,"linear","90%",0.480574531844597
"43","MIR_345_5P",0.50246240868875,0.244566533416216,2.05450190453341,0.0399846492533895,"BMD",0.198609856948933,"linear","90%",0.50246240868875
"56","MIR_625_5P",0.484885457572806,0.236100454057552,2.05372522263176,0.0400615473415548,"BMD",0.198609856948933,"linear","90%",0.484885457572806
"52","MIR_542_3P",2.34753278325526,1.14582530286039,2.04877024219571,0.0408344419033826,"BMD",0.198609856948933,"linear","90%",2.34753278325526
"54","MIR_589_3P",0.609220815736509,0.298168644117285,2.04320886101247,0.0410916945411585,"BMD",0.198609856948933,"linear","90%",0.609220815736509
"51","MIR_532_5P",0.532955812897795,0.262239742398317,2.03232282042241,0.0421810503393041,"BMD",0.200532862268823,"linear","90%",0.532955812897795
"60","MIR_886_3P",0.723550144808161,0.358620136271356,2.01759486327526,0.0436990621715177,"BMD",0.204398839189357,"linear","90%",0.723550144808161
"48","MIR_484",0.200056307610659,0.0997322975297936,2.00593300832055,0.0449215272765257,"BMD",0.206781633495118,"linear","90%",0.200056307610659
"45","MIR_382_5P",-0.652425675789312,0.331963494167984,-1.96535368271297,0.0494455868829277,"BMD",0.224050315563266,"linear","90%",-0.652425675789312
