"miRNA","Estimate.x","Estimate.y","Std..Error.x","Std..Error.y"
"MIR_106A_5P",0.771325113115762,-0.7572454949278,0.365697193804781,0.375407258957815
"MIR_1255B_5P",0.506013233379958,-0.636910642716476,0.22791277435049,0.241719474431247
"MIR_1285_3P",0.631215201237352,-0.599215938306171,0.250340358039681,0.26832529635868
"MIR_17_5P",0.79669361898449,-0.964863111461999,0.370488473207428,0.381302616030066
"MIR_184",0.94875761315796,-0.864935843049838,0.402811778510906,0.422293027651857
"MIR_26A_5P",0.899021957319627,-0.955663803916086,0.389246340062258,0.394878865956482
"MIR_374A_5P",0.988458179489887,-0.929751029057769,0.381130830188111,0.400357723178335
"MIR_628_3P",0.449802332980844,-0.560823705230686,0.206060785330127,0.215545074141446
"MIR_7_1_3P",0.912897919511007,-0.933512852344931,0.396440918374532,0.420941843407604
"MIR_886_3P",0.723550144808161,0.863266211096252,0.358620136271356,0.365388995021695
